,Timestamp,TeamId,PlayerId,AST,STL,TO,BLK,FL,REB,DEFENSIVE_REB,OFFENSIVE_REB,FG2,FGA2,FG3,FGA3,FT,FTA,FG_CAS,FGA_CAS,FG_OTD,FGA_OTD,FG2_CAS,FGA2_CAS,FG2_OTD,FGA2_OTD,FG3_CAS,FGA3_CAS,FG3_OTD,FGA3_OTD,PASS0_2,PASS3_5,PASS6,PT0,PT1,BR0,BR1,BR2,TRANSITION,class,game
134,1581474566578.0,1713.0,67351.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
148,1581474810745.0,1729.0,67897.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
153,1581474844229.0,1729.0,67881.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
168,1581474965452.0,1713.0,67346.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
181,1581475142944.0,1729.0,67883.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
186,1581475319296.0,1729.0,67881.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
196,1581475466628.0,1713.0,67351.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
202,1581475505195.0,1713.0,67346.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
212,1581475627753.0,1713.0,67346.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
215,1581475656537.0,1729.0,67885.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
227,1581476885313.0,1713.0,67348.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
231,1581476899665.0,1729.0,67900.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
246,1581477020012.0,1713.0,67348.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
275,1581477447645.0,1713.0,67337.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
278,1581477462670.0,1729.0,67884.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
289,1581477549198.0,1713.0,67348.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
292,1581477564928.0,1729.0,67900.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
298,1581477655895.0,1729.0,67883.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
307,1581477735063.0,1713.0,67337.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
310,1581477744029.0,1729.0,67897.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
318,1581477958260.0,1713.0,67342.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
321,1581477970105.0,1729.0,67883.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
324,1581477982506.0,1713.0,67351.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
327,1581478000899.0,1713.0,67342.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
332,1581478033823.0,1713.0,67349.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
336,1581478099404.0,1729.0,67884.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
345,1581478199984.0,1713.0,0.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
357,1581478662999.0,1713.0,67348.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
364,1581478713615.0,1729.0,67897.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
369,1581478748921.0,1713.0,67348.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
372,1581478751871.0,1713.0,67348.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
379,1581478795447.0,1713.0,67348.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
382,1581478814971.0,1729.0,67885.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
386,1581478850438.0,1713.0,67351.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
397,1581479044406.0,1729.0,67887.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
410,1581479298689.0,1713.0,67339.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
415,1581479330345.0,1713.0,67348.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
423,1581479404339.0,1713.0,67346.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
429,1581479450380.0,1713.0,67348.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
432,1581479476696.0,1713.0,67348.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
5,1582164181511.0,1734.0,67922.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
13,1582164235044.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_a8114fce-5374-11ea-ab59-024282923f19
22,1582164279602.0,1734.0,67895.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_a8114fce-5374-11ea-ab59-024282923f19
25,1582164295244.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_a8114fce-5374-11ea-ab59-024282923f19
33,1582164375461.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
44,1582164417518.0,1714.0,67367.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_a8114fce-5374-11ea-ab59-024282923f19
47,1582164434263.0,1714.0,67363.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
50,1582164434586.0,1734.0,67910.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
61,1582164675994.0,1714.0,67365.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_a8114fce-5374-11ea-ab59-024282923f19
82,1582164887636.0,1734.0,77929.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_a8114fce-5374-11ea-ab59-024282923f19
85,1582164902103.0,1714.0,75486.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
94,1582164970820.0,1734.0,77929.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
100,1582165150620.0,1734.0,77930.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
116,1582165304627.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_a8114fce-5374-11ea-ab59-024282923f19
121,1582165336094.0,1714.0,67367.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
124,1582165327362.0,1714.0,67368.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
129,1582165449582.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_a8114fce-5374-11ea-ab59-024282923f19
133,1582165423965.0,1734.0,67903.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
152,1582165756996.0,1714.0,67363.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
157,1582165779560.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_a8114fce-5374-11ea-ab59-024282923f19
160,1582165796063.0,1734.0,77928.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
163,1582165811869.0,1734.0,67922.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
166,1582165829269.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
169,1582165850179.0,1734.0,77928.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_a8114fce-5374-11ea-ab59-024282923f19
175,1582165896785.0,1714.0,67363.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
180,1582165910077.0,1714.0,67363.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
187,1582166097519.0,1714.0,67361.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
192,1582166143819.0,1714.0,67363.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,M_a8114fce-5374-11ea-ab59-024282923f19
195,1582166153003.0,1734.0,67903.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
198,1582166168327.0,1714.0,75482.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_a8114fce-5374-11ea-ab59-024282923f19
211,1582166350765.0,1714.0,67361.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_a8114fce-5374-11ea-ab59-024282923f19
225,1582166511686.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_a8114fce-5374-11ea-ab59-024282923f19
230,1582167511803.0,1714.0,67363.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
238,1582167562660.0,1714.0,67368.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_a8114fce-5374-11ea-ab59-024282923f19
244,1582167578389.0,1714.0,67367.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
251,1582167646925.0,1714.0,67363.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
254,1582167678545.0,1734.0,67903.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_a8114fce-5374-11ea-ab59-024282923f19
262,1582167747136.0,1714.0,67363.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
272,1582167852119.0,1734.0,67910.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_a8114fce-5374-11ea-ab59-024282923f19
276,1582167859986.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
279,1582167870094.0,1734.0,67910.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_a8114fce-5374-11ea-ab59-024282923f19
297,1582168157444.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
311,1582168267261.0,1714.0,67368.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
320,1582168318811.0,1734.0,77930.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_a8114fce-5374-11ea-ab59-024282923f19
323,1582168327302.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_a8114fce-5374-11ea-ab59-024282923f19
328,1582168513753.0,1734.0,67910.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_a8114fce-5374-11ea-ab59-024282923f19
335,1582168580095.0,1734.0,77930.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,M_a8114fce-5374-11ea-ab59-024282923f19
338,1582168589711.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
341,1582168602169.0,1734.0,67903.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
348,1582168681819.0,1734.0,77929.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_a8114fce-5374-11ea-ab59-024282923f19
351,1582168698522.0,1714.0,67363.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_a8114fce-5374-11ea-ab59-024282923f19
355,1582168720335.0,1734.0,77929.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_a8114fce-5374-11ea-ab59-024282923f19
358,1582168719002.0,1714.0,67361.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_a8114fce-5374-11ea-ab59-024282923f19
362,1582168771810.0,1714.0,67363.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,M_a8114fce-5374-11ea-ab59-024282923f19
367,1582168791736.0,1714.0,67363.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
370,1582168818587.0,1714.0,67369.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_a8114fce-5374-11ea-ab59-024282923f19
388,1582169129879.0,1734.0,77930.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
393,1582169180661.0,1714.0,67363.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_a8114fce-5374-11ea-ab59-024282923f19
407,1582169331388.0,1734.0,67918.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,M_a8114fce-5374-11ea-ab59-024282923f19
410,1582169339638.0,1714.0,67363.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
416,1582169378353.0,1714.0,67369.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_a8114fce-5374-11ea-ab59-024282923f19
430,1582169609137.0,1734.0,67922.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_a8114fce-5374-11ea-ab59-024282923f19
434,1582169637729.0,1714.0,67363.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
440,1582169672285.0,1714.0,67361.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
445,1582169717785.0,1734.0,67922.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_a8114fce-5374-11ea-ab59-024282923f19
460,1582169831744.0,1714.0,67361.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_a8114fce-5374-11ea-ab59-024282923f19
11,1581217976941.0,1714.0,67365.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
17,1581218006251.0,1713.0,67348.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
21,1581218008251.0,1713.0,0.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
42,1581218293041.0,1714.0,67363.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
45,1581218307507.0,1714.0,67363.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
59,1581218649478.0,1714.0,0.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
62,1581218691074.0,1713.0,79832.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
71,1581218772967.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
74,1581218785707.0,1713.0,67351.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
83,1581218852741.0,1713.0,67344.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
86,1581218860532.0,1714.0,67361.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
94,1581219159823.0,1714.0,67369.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
99,1581219191593.0,1714.0,67368.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
102,1581219203091.0,1714.0,67368.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
116,1581219365025.0,1714.0,67363.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
119,1581219396157.0,1713.0,67348.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
125,1581219426683.0,1713.0,67348.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
135,1581219752099.0,1714.0,67365.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
138,1581219792166.0,1714.0,75482.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
141,1581219800051.0,1714.0,67365.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_17472065-4ad8-11ea-9084-0242bdc61da9
